org_number,company_name,declaration_date,court,status,city,region,business_type,employees,revenue,administrator,law_firm,source_url
559305-2573,Visvall bilteknik AB,2025-12-23,,Avslutad,,Gävleborgs län,Bilar,,,,,https://www.allabolag.se/foretag/visvall-bilteknik-ab/hudiksvall/-/5593052573
559202-2049,The Brighthouse AB,2025-12-23,,Försatt i konkurs,,Stockholms län,Livsmedel,,,,,https://www.allabolag.se/foretag/the-brighthouse-ab/sollentuna/-/5592022049
559296-1071,Söderhamn Sportcenter AB,2025-12-23,,Avslutad,,Gävleborgs län,Sportanläggningar,,,,,https://www.allabolag.se/foretag/s%C3%B6derhamn-sportcenter-ab/norrala/-/5592961071
559001-7389,Storno Logg AB,2025-12-23,,Försatt i konkurs,,Västmanlands län,Restauranger,,,,,https://www.allabolag.se/foretag/storno-logg-ab/v%C3%A4ster%C3%A5s/-/5590017389
556901-5257,Som Butik AB,2025-12-23,,Försatt i konkurs,,Dalarnas län,Livsmedel,,,,,https://www.allabolag.se/foretag/som-butik-ab/falun/-/5569015257
559323-7554,Skandinavisk Boutveckling Projekt AB,2025-12-23,,Försatt i konkurs,,Skåne län,Byggmästare,,,,,https://www.allabolag.se/foretag/skandinavisk-boutveckling-projekt-ab/oxie/-/5593237554
559349-2316,Skandinavisk Boutveckling Holding 2 AB,2025-12-23,,Försatt i konkurs,,Skåne län,"Finansbolag, finansiella tjänster",,,,,https://www.allabolag.se/foretag/skandinavisk-boutveckling-holding-2-ab/oxie/-/5593492316
559255-5857,Salamanca in Sweden AB,2025-12-23,,Försatt i konkurs,,Stockholms län,Budservice,,,,,https://www.allabolag.se/foretag/salamanca-in-sweden-ab/v%C3%A4sterhaninge/-/5592555857
559490-9920,SOLIRO AB,2025-12-23,,Försatt i konkurs,,Stockholms län,Byggmästare,,,,,https://www.allabolag.se/foretag/soliro-ab/v%C3%A4llingby/-/5594909920
559403-2988,RUS pizzeria AB,2025-12-23,,Avslutad,,Gävleborgs län,Restauranger,,,,,https://www.allabolag.se/foretag/rus-pizzeria-ab/bolln%C3%A4s/-/5594032988
916922-4012,QVICK's MINIGRÄV Handelsbolag,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/9169224012
556766-5616,Charkeriet i Huskvarna AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5567665616
559133-4882,Aphatech AB,2025-12-23,,Försatt i konkurs,,,Industri- och produktdesignverksamhet,,,,,https://www.konkurslistan.se/konkurser/5591334882
559292-3865,Dan Hall Holding AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5592923865
559525-4821,Af bilar & bilverkstad AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5595254821
559114-7615,PINTERI AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5591147615
559237-4986,Gramsi AB,2025-12-23,,Försatt i konkurs,,,Restaurangverksamhet,,,,,https://www.konkurslistan.se/konkurser/5592374986
559287-8663,Kattvikskajen Schweizeri & Stenugnsbageri AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5592878663
556893-8897,Attefallspecialisten Sverige AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5568938897
559431-9500,Cross west transport AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5594319500
559420-8976,Nordic Worx AB,2025-12-23,,Försatt i konkurs,,,Restaurangverksamhet,,,,,https://www.konkurslistan.se/konkurser/5594208976
556889-8927,Capital Exchange Markets (CEM) AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5568898927
559307-7117,BRESHKE BYGG AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5593077117
556219-0131,Mats Kilander Ekonomi AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5562190131
559305-7952,Besiktningsportalen Stockholm AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5593057952
559349-8636,European Quality Transport & Logistics AB,2025-12-23,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5593498636
556666-9429,Tranarö marin AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5566669429
559318-7023,COPMOD AB,2025-12-22,,Försatt i konkurs,,,Industri- och produktdesignverksamhet,,,,,https://www.konkurslistan.se/konkurser/5593187023
556907-5210,Oriel Stockholm AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5569075210
559350-6347,Ski The Planet AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5593506347
556990-1910,Vero Transport AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5569901910
556625-0824,Mats Lågprishandel AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5566250824
556535-0518,Harrion AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5565350518
769633-9717,HSB Bostadsrättsförening Margaretavägen,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/7696339717
769626-9914,"Equality Development Center West Sweden, EDCS EK FÖR",2025-12-22,,Försatt i konkurs,,,Stödverksamhet för utbildningsväsendet,,,,,https://www.konkurslistan.se/konkurser/7696269914
769638-9092,"Hälsans Hus i Lund, Ekonomisk förening",2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/7696389092
556691-2902,Parapu AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5566912902
559332-2091,Xertify AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5593322091
556912-9264,Osterman Fastighet AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5569129264
556811-6700,Brismo SemiColon AB,2025-12-22,,Försatt i konkurs,,,Konsultverksamhet avseende företags organisation,,,,,https://www.konkurslistan.se/konkurser/5568116700
559214-3290,MeKKon industrisupport Laxå AB,2025-12-22,,Försatt i konkurs,,,Teknisk konsultverksamhet inom industriteknik,,,,,https://www.konkurslistan.se/konkurser/5592143290
559346-5767,Alma Grill AB,2025-12-22,,Försatt i konkurs,,,Restaurangverksamhet,,,,,https://www.konkurslistan.se/konkurser/5593465767
559240-1276,Goggo Godis AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5592401276
559411-9884,Zeepay JV AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5594119884
559295-9489,ZABUX B.T.S AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5592959489
559161-6924,Ruts Fastighet AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5591616924
559412-9339,Vanadis Tvätt & rekond AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5594129339
556828-6768,Gyllenhus AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5568286768
559015-3218,Thai Town Örnsköldsvik AB,2025-12-22,,Försatt i konkurs,,,Restaurangverksamhet,,,,,https://www.konkurslistan.se/konkurser/5590153218
559337-0801,GAR Pension AB,2025-12-22,,Försatt i konkurs,,,Andra stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet,,,,,https://www.konkurslistan.se/konkurser/5593370801
559311-2997,Springy AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5593112997
556845-3467,Hair and beauty i Luleå AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5568453467
559442-3930,Kipuwex AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5594423930
559307-8560,KD Tech AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5593078560
559058-4339,GRAB Entreprenad AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5590584339
559377-9480,N-TRANS AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5593779480
559200-3239,Klimat & Fastighetsteknik i Trosa AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5592003239
556393-4370,Aktiebolaget Borlänge Biluthyrning,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5563934370
559393-7716,North Wind Aviation AB,2025-12-22,,Försatt i konkurs,,,Övrig teknisk konsultverksamhet,,,,,https://www.konkurslistan.se/konkurser/5593937716
559415-0798,Solgrann & Company AB,2025-12-22,,Försatt i konkurs,,,"Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik",,,,,https://www.konkurslistan.se/konkurser/5594150798
559462-0212,AR Dekor AB,2025-12-22,,Försatt i konkurs,,,,,,,,https://www.konkurslistan.se/konkurser/5594620212
